kabupaten;kambing;sapi;ayam
Kabupaten Pacitan;321971;95954;1040372
Kabupaten Ponorogo;255771;85716;993406
Kabupaten Trenggalek;432539;38840;1443265
Kabupaten Tulungagung;209955;144801;2306751
Kabupaten Blitar;157100;153829;2862560
Kabupaten Kediri;147285;234177;1276882
Kabupaten Malang;290378;246734;2506274
Kabupaten Lumajang;138112;225394;1877348
Kabupaten Jember;56194;274162;2152656
Kabupaten Banyuwangi;120698;134307;1361913
Kabupaten Bondowoso;54809;237407;701846
Kabupaten Situbondo;32108;182081;341734
Kabupaten Probolinggo;51499;319388;629689
Kabupaten Pasuruan;72160;117679;1434504
Kabupaten Sidoarjo;41999;14735;397297
Kabupaten Mojokerto;40393;50396;678463
Kabupaten Jombang;116106;73372;919606
Kabupaten Nganjuk;128141;143682;1308429
Kabupaten Madiun;87243;65745;1841526
Kabupaten Magetan;44726;118251;613865
Kabupaten Ngawi;86464;85847;626744
Kabupaten Bojonegoro;154758;258563;1633128
Kabupaten Tuban;137675;354650;1555181
Kabupaten Lamongan;92109;117889;1390992
Kabupaten Gresik;79059;59259;759629
Kabupaten Bangkalan;86607;276476;1607189
Kabupaten Sampang;57164;217129;607932
Kabupaten Pamekasan;66433;194292;866239
Kabupaten Sumenep;156034;383059;794762
Kota Kediri;4683;4101;84011
Kota Blitar;3114;3863;81528
Kota Malang;1576;2697;49770
Kota Probolinggo;3247;11061;86437
Kota Pasuruan;3232;454;51400
Kota Mojokerto;1065;103;13010
Kota Madiun;2765;209;57840
Kota Surabaya;996;113;8941
Kota Batu;5735;2572;34985
